Insult,Date,Comment
0,20120502215304Z,"""And know they've burned holes carpeting."""
0,20120503031721Z,"""you land creature. You would drown...."""
0,,"""To doom-and-gloomers, chicken-littles claim sky falling society collapsing...Canada gay marriage nationwide years. Where disaster? Where collapse persecution shouting about? Where it? Please, show us examples starting look like threats fears warnings nothing HOT AIR."""
0,20120612144331Z,"""Craig, saying start entertaining show.\xa0 It awakens horny little Goth me.\xa0 I met boyfriend first season one first thing watch AHS house.\xa0 I know likes day sure I far creepier kinkier could ever be.\xa0 Thanks, American Horror Story.\xa0 Sweet Clam loves you."""
0,20120529025329Z,"""Strange talking Chelsea fans belittling Community Shield"""
0,20120612052926Z,"""But would actually get key out?"""
0,20120528193950Z,"""oh cool, internet points collection!"""
0,20120529230121Z,"""Even though I think better coaches there, I glad Del Negro keeping job. I never thought got enough credit years took average Chicago Bulls teams coached playoffs 2 years row"""
0,20120611201838Z,"""russellpiano\xa0\nHmmmm...how spin Obama honoring Vietnam troops something negative.Answer: Doesn't matter! Look followers. They'll take anything.\n\n_________________________________________________________________________________________\nObama team: \xa0""Hmmm, make liberal Messiah look better light revelations leaking classified information New York Times?I know, lets bogus photo shoot Viet Nam Memorial. That make Obama look like cares vets (but first we'll clear vets immediate area can't trusted)."""""
0,20120529115214Z,"""A good article, which, good do, could delivered brick wall."""
0,,"""Head's warning...another source funding Media Matters Peter Lewis Progessive Insurance Company. You know, auto insurance commercials run every 5 minutes cable television featuring gal looks like blow-up doll red lips and\\xc2\\xa0a perfectly round mouth...if know I mean.\\nIF Progressive\\xc2\\xa0auto insurance, know part premium going fund progressive liberal\\xc2\\xa0organization hell bent\\xc2\\xa0on destroying\\xc2\\xa0our country free speech. Their mission to\\xc2\\xa0bring down\\xc2\\xa0Hannity,Beck,Dobbs,Lavin,Limbaugh,Boortz,etc. We must let win."""
0,20120620055647Z,"""@sdnoriko LOL Capcom listens. Watch fuck too. I hope I wrong. I love Okami."""
1,20120515132156Z,"""Allinit123, your\xa0hypocrisy\xa0is sickening, ignorant loser."""
0,20120620011710Z,"""Fast & furious work like planned it?.............lololololololol"""
0,20120530111709Z,"""mitt best candidate president.......but, going worst\xa0candidate\xa0ever help tremendously. \xa0LOL\xa0\n\nobama one done......it could happen way."""
1,20120620161958Z,"""I can't believe stupid people site idea going on.\xa0 You fools.\xa0 You useful idiots.\xa0 They hiding truth fools protect would look like useful idiots are."""
1,20120609163743Z,"""fucking behave prick!"""
0,20120619094846Z,"""The ""other"" relevant fact HE IS DESTROYING AMERICA!"""
0,20120609175446Z,"""You liar."""
1,20120620075045Z,"""Is it?? sum total conversation first abuse calling troll.. You typical socialist idiot. Keep non existent class warfare, pointless you."""
0,20120619231647Z,"""@beanstalk @briview Welp NBW right?"""
0,20120620024445Z,"""Good job, fellas. I quite read rules signature piece, I guess good any. I found great blogs follow, share G+. If I'm commenting blogs, I always throw two cents I post share. Add Googler. \nhttps://plus.google.com/109258118458627782001/posts. Again, congratulations winners, I hope get chance submit something else. This fucking fun."""
0,,"""I say hang ass center town let known type behavior gets type punishment... The lady kid 1 week ago. Women safe sex child birth AT LEAST 6 weeks. So even WAS\\xc2\\xa0consensual, would wayyyyy soon hurt lady. I glad baby young remember event happening house I hope mother recovers quickly."""
1,20120619074710Z,"""faggot"""
0,20120529201852Z,"""You right relaxe give better result perform identity work."""
1,20120529130844Z,"""Aimless Abe delusion weirdo locked inside kept away computers.\xa0 Anyone doubts lunacy Abe moronic prog frog NYC please read thread see Abe completely come apart seams go deep end."""
0,20120610150536Z,"""That, I doubt...\n\n....as Blackberry clone.\n\nBut, original argument Android would existed, Android somehow predates iOS development."""
0,20120530023429Z,"""OKC work deal get PG plays like Parker CP3. I think Nash point, move Westbrook SG team would unstoppable. Imagine shots Nash would create Durant. Then Westbrook would natural position too, guy create shots distribute."""
0,20120619183841Z,"""Maher's show goes on....\nPalin's\xa0 Alakda show gets canceled.\n\nIsn't ""free market"" wonderful?"""
1,20120320131007Z,"""Even troll pathetic failure."""
0,20120529231612Z,"""Grazie mille Sabrina! Sei cos\xec dolce.\n\nBaci."""
0,20120530064120Z,"""yeah well, would still better letting sit 20-30 years dime sticking needle veins. I say give ALL noose. If choose kill themselves, it."""
0,20120612003945Z,"""um\n\xa0\nholy fuck need cigarette"""
1,20120502173058Z,"""You're moron, truth beyond reach"""
0,20120529022638Z,"""You seem wistful."""
0,20120529141937Z,"""Damn, speedy recovery, Paul...raining prayers you!"""
0,20120528151453Z,"""The laughs two heard triggered memories high-flying exits moving beasts"""
1,20120619203151Z,"""Your anti-Semitic rants welcomed here. You racist moron.\nFU!"""
0,20120620175146Z,"""@Nonstopdrivel Was FredEx team?"""
1,20120619033424Z,"""god, tiresome. get life, loser."""
0,20120612141919Z,"""stop pretending ur bradley's side. BS..are u blind give us stupid\xa0long\xa0explainations yours,\xa0you\xa0\xa0sounds like 2 idiot judges exactly carbon copy !!...arum need moneyyyy bacckkkkkkk !!!!!!"""
0,20120610012708Z,"""fucking weird game man"""
0,20120620031132Z,"""I told I would give did. You started acting likje tough guy behind moms computer I asked 20 times address still give it."""
0,20120619055834Z,"""I know Lewis little boy little girl. Either way becomes third list petulant idiots. You understand grow up. Ask old bastard member family explain. Such actions cannot tolerated. How come blame line judge? Weird."""
0,20120620015832Z,"""thats pathetic flop fuck jvg"""
0,20120611195156Z,"""Why bother improving ios sell phones care produce. These advice better served also-runs... wp first foremost"""
0,,"""spursruss: I live Argentina Argentinians. The problem loud issue ill educated sure rushing fight anyone, would cowering background. My wife Argentinean first one recognize stupidity claims. Some muppet think fought Independence UK, morons lot them. The answer simple, leading colonial force, would ENGLISH speaking country, aren't, werent Spain, Portugal, France, interests commercial. Also worst part exterminated natives, Spanish started actually newly formed Argies killing native, lovely eh? Clueless stuff, wonder Government gets away corruption, many ignorant people thats why...you shouldnt judge ALL standard, huge amount Argies see Cristina drum beating is, ALL presidents Argentina do, using cover failing."""
0,20120527153941Z,"""you better hope Marlins history giving superstars"""
0,,"""Well, guys gone done now. You put words 'China' 'Chinese' required number times dating Asians ad come up. Evidently, Ms. Zhang, 50Kg 168cm [for BMI 17.8] 'HuNan China' wants meet me. She little mouth open like speaking. What's ask, Zhang? Well, yes, matter fact I physician. Why clapping hands together jumping down? Stop squealing, young lady 'exprain' yourself!"""
0,20120620154731Z,"""you mean like topic Obama rant bellow?"""
0,20120529035809Z,"""I hope inconjunction July 4...."""
0,,"""Surely crushing blow, get next four years, would consider leaving country????????????????"""
0,20120611225404Z,"""I watched Fox News years, true."""
0,20120528200101Z,"""Are France?"""
0,20120620001100Z,"""I'll take temp...I really hate heat"""
0,20120620070034Z,"""Alexis Bledel act. Wait. Can she? I blind spot comes impossibly beautiful women. Shit, maybe can't act. Fuck, hell I now?\n\nWHAT THE HELL DO I DO NOW!?"""
0,20120612035513Z,"""I like comments.\nHowever I would go one step further. It's time ""let"" people IL fight back.\nRather citizens IL need fight back period. \nI carry next time I travel ""little Beirut"". i.e. Chicago"""
1,20120619194023Z,"""Fact : Georgia passed strict immigration policy Latino farm workers left area. Vidalia Georgia 3000 agriculture job openings able fill 250 past year. All White Real Americans looking work Latinos stole you..Where ? The jobs Vadalia waiting you..Or maybe fact would rather collect unemployment like rest Tea Klaners.. You scream..you complain..and sit home wife beaters drink beer..Typical Real White Tea Klan...."""
1,20120530000452Z,"""Of course would bottom feeder ..."""
0,20120619201802Z,"""M\xe1tenlos!!\nhttp://1.bp.blogspot.com/-YVSZmVv2iRw/Tmo8KFaUGMI/AAAAAAAAA0k/NlLAahKNnis/s1600/kill_it_with_fire_KILL_IT_KILL_IT_WITH_FIRE-s670x394-132457.jpg"""
1,20120619162450Z,"""You are\xa0 fukin moron. \xa0\xa0 You butthurt got rejected WIkipedia.\n\nCall yoursilf scolar whatever.\xa0 I better you,\xa0 14 already Wikipedia administrator.\xa0 You stupid ashole."""
0,20120528135045Z,"""He president doe's day.\nI recall presidents appeared Wall.\n\nelection year.... yea, would never say anything\nif appear. You ways."""
0,20120619193808Z,"""...yeah, f'ing expert.....go back picking trash barrels tool"""
0,20120618201005Z,"""Those trails definitely get plowed regardless investigation. They'll see easier plow area deal it. And got plowed I would never return risk getting stopped heavily questioned PO-PO's. \n\nP.S. - All stupid comments unnecessary. It's really easy cold heartless act like give fuck. But I'd like see anonymous commentators talk shit like front person's family even Mother's. Grow children learn respect."""
0,20120529200220Z,"""Suh sack last time played."""
0,20120612001540Z,"""and support argument a-hole....\n\nNot everyone games pc's either. \xa0Spec whores miss point entirely.......\n\nI prefer mac daily work. \xa0That beings said, I'm also big believer best tool job certain things PC's better, (Database servers instance)\n\nThe thing havent proved anything anti apple bias name calling (guilty get attention) id juvenile"""
1,20120619171832Z,"""You fucking dumb ass!. Go back Xbox dickhead. Grow little fanboy."""
0,20120515062952Z,"""you know would fun? If guys talked crap back us. entertaining"""
0,,"""@beeline @SidneyCatsby ...I'm assuming school states."""
0,,"""They put gay lesbians island\\xe2\\x80\\xa6\\xc2\\xa0 Oh wait Manhattan. """
0,20120610020958Z,"""YOLO. This hilarious. Canyon students racist! Even though us Mexican! Fuck gabby!"""
1,20120502203704Z,"""Lets see papers arealconservati.\n\nTill shut fuuk sticky-chin."""
0,,"""An interesting angle organized religion religious persecution never ok unless defending religion.\\xc2\\xa0 You victims religious oppression.\\xc2\\xa0 You oppressors.\\xc2\\xa0 BTW, i'm gay.\\xc2\\xa0 I love people try defend persecution others claiming persecuted."""
1,,"""Correction Bitch! You think superb hating ass know talent..And Again I still waiting submit video singing..Where youtube link? I sure get kinds rave reviews lol"""
1,20120611215519Z,"""I think trickle effected trickle sperm dad gave mom trickled leg. Go back sleep, wake needed again."""
1,20120515142854Z,"""And keep knees keep telling sausage mouth.\xa0 And cream cheese swallowing."""
0,20120620125953Z,"""What that, like 2000 words nothing? You're going Andrea Mitchell? What, Fox infomercial broadcasting yesterday? How apologies issued ""EPA drones""? And yet attacking Andrea Mitchell stupid gas station gimmick.\n\nHere's another newsflash you, Mr. Romney (R1%) touch. We already know it. Mr. Romney's amazement gadget ""petrol filling post"" people could actually buy food products actually eat it.\n\nThis second Mr. Romney even carrying wallet. And likely even know is. I'm still waiting someone ask tough campaign trail question ""how much gallon milk cost?"".\n\nAndrea Mitchell gas station food... unbelievable."""
0,20120619032603Z,"""@Rourke needs give fucking like\xa0\xa0@jwoude23\xa0hows everyone doin?"""
1,20120514051227Z,"""fuck both"""
0,20120619182936Z,"""Powers,\n\nMSNBC Is far far biased hostile comments FOX. At least FOX usually opposing views. MSNBC shill president. And keep fire hosts outrageous remarks make.\n\nNow, CNN getting almost bad MSNBC."""
0,20120527213608Z,"""What horrible trades talking about?"""
1,20120320212724Z,"""and retards like back institutions."""
0,20120610004410Z,"""weapons lol hes idiot waste human space made ruined all"""
0,20120529210906Z,"""Not big fan Rondo, dude ball...I classify big talker, trying psyche up..."""
1,20120619190700Z,"""Pig Maher, forgot meds again. You know one sick SOB forget."""
0,20120611201812Z,"""It's rich screaming taxes.\xa0 It's average middle class American pays his/her taxes see benefit taxes (but instead sees waste).\xa0 I pay federal taxes, I use public schools, I'm collecting govt welfare benefits, I pay healthcare etc.\xa0 I use roads sewers, I mind paying city taxes\xa0for that.\xa0 My trash pick private, I pay directly trash company.\xa0\xa0Everyone pay they\xa0'use', not\xa0based make.\xa0\xa0If\xa0one wants part society, one should\xa0contribute pay fair share.\xa0 That includes rich poor."""
1,20120320095936Z,"""Mr. King time either grow pair balls join democrats love pussy cat like you."""
0,20120619203524Z,"""I'm amused fact WeBlog cons drop issue turns loser.\n\nThis expression amusement."""
0,,"""Gabriel.\\xc2\\xa0 \\xc2\\xa0Getting time blow horn?"""
0,20120529153517Z,"""Exactly. Like, I really give shit fat person may may feel, really shitty clothes fit. And ""I'm gross"" way ""I can't well leave house naked!!"" way."""
0,20120619204714Z,"""Welfare queen whore, crack whore. \xa0I think whore productive worker welfare queen."""
0,20120611235119Z,"""POLITICAL CORRECTNESS:\n\nPolitical Correctness doctrine, fostered delusional, illogical minority, rapidly promoted unscrupulous lamestream media, holds forth proposition entirely possible pick piece ch*t \xa0by clean end."""
1,20120620063410Z,"""What ass are...funny I see lot ""nuts"" cars I ever pilots panes..."""
1,20120530113926Z,"""You take international law and\xa0 shove it. You schmuck, I know I even comment idiotic posts. The ""peace activists"" ship started hitting soldiers weapons order kill the."""
0,20120612023024Z,"""Blown little pissy applied union job turned down. He another good republican minion spreading today's message."""
0,20120619224557Z,"""If dont teleport air-mix ups ""you nothing me"""""
0,,"""stop trying sound like victim bitches dont understand men dont temper thoughts go ur mind ours.. u put nigga da spot get face start throwing yo stank breath us believe u got coming yal go right period"""
0,20120610065027Z,"""robert moroni fuckin dimwit, know parody is? It's fuckin parody fox news sounds accurate me!"""
1,20120514051108Z,"""The evil, callous, vile, creature mythology made god. Stop killing eating babies, dirty christard!"""
0,20120620181659Z,"""Oops! \xa0How embarrassing (for me)... right People1st... I bow superior movie intellect son :)"""
0,20120612031614Z,"""If throw trash window, get yellow star bumper sticker."""
0,,"""Once see soft immigration policy let citizens down.... I bet come family less education retarded hampster yet given nice new life Britain... Reap sow...."""
0,,"""Nope. Not working either.32-23-34www.facebook.com/annagillmodel\\n\\n \\n\\nYou email! :) """
0,20120514051012Z,"""That jump shooting bit gets old. When get calls contact get shot thrown look separation jump shoot. Especially ain't big, teams bigs longs rare/expensive pro level."""
0,20120528033457Z,"""""This tough loss us, right guys blowing locker room.""\n\n-Scott Brooks"""
1,20120320210420Z,"""You're complete utter moron."""
1,20120528221848Z,"""Your still loser, man must really gotten skin lol"""
0,,"""The ignorance astounding. Clearly says video Cleveland ALREADY convicted rape serving jail time it. He\\'s GUILTY. She WAS RAPED!! (for morons who\\'ve said ugly statements attacked veracity story) The determination court trying make whether Cash Money held liable. I think it\\'s reasonable invite someone make professional presentation YOUR company YOU provide necessary protections individual. I don\\'t care whether Cleveland employed ""a hanger-on"" professional guest left unattended hands someone dangerous admittedly Baby Slim\\'s knowledge permission. If went store attacked employee ""friend boss"" (who permitted hang around premises), would hold company responsible?\\xc2\\xa0"""
0,20120620153735Z,"""Fuck hard, fuck slow, fuck hard, start again."""
0,20120529130655Z,"""@Axlrodes\xa0Were Wide Receiver drama?"""
0,20120611211947Z,"""are fucking kidding mirrors fuck freesteam"""
1,20120618200449Z,"""Nothing confirmed 19th century moron. There modern medical science prove ANYTHING. Dont try quote period time brought us Spanish Inquisition. You lowest low, feel sorry you."""
1,20120619175937Z,"""My best friend allergic wheat, corn, soy, red dye, yellow dye, pistachios, tree nuts, kiwis, cherries, oranges, bananas, seafood. If gets anywhere near smell seafood lungs constrict longer breath. Last week got cut dog leash pistachios almost went anaphylactic. I know little food allergies.\xa0\n\nI asked friend thought rude selfish someone want food allergies could die. She said bitch. So I really think insulting wants food allergies die. I think we're back bitch."""
0,20120527182916Z,"""So focusing Boston vs Miami minute.... Who's scarier opponent, SanAn OKC?"""
1,20120610162400Z,"""floyd better knock percentage pacman dumb fuuuuck"""
0,20120612082854Z,"""so wat u bn along u want train nw.we thot yo presence must strengthen strike force bt proving otherws.shame!!!!!!!!!!!!!!!!!!!"""
0,20120619014349Z,"""The Dean Mean typical Tory believes there's one law another one everyone else.\nBig Steve better get around firing everyone Elections Canada replacing Tory hacks really get Tories 2011 campaign."""
0,,"""Oh fab - tennis player sense humour smile. Mr Murray please note. Mind left late cheer up. Misery guts"""
0,20120609183518Z,"""You repeating yourself, mate."""
1,20120612083701Z,"""You one sick puppy."""
0,20120620155324Z,"""Very true, indeed! I've tried sit study hours straight without breaks I'm nearly effective I take breaks."""
0,20120611013005Z,"""so da fuck wat prasie devil look keep doin ya thing nigga"""
1,20120611204143Z,"""Can I say dick here?\nYour dick."""
0,20120611171123Z,"""@niemerg1 Right.\xa0 Never said fool proof tho."""
0,20120609231913Z,"""The wonders PLASTIC SURGERY <3"""
0,20120611173531Z,"""Ron Paul / Cynthia Mckinney 2012\nThe Wacko ticket!\nCalling Paul sheep barn daily feeding. Don't forget wallet!"""
0,,"""go move hollywood, join russell brand take dan lobe you"""
1,,"""The way fucking hoodrat standing picture boiling blood. I'd like meet cunt alley minutes. Selfish fucking twat."""
0,,"""hahaha today group Argentine veterans Falklands war beat crap senator peronist party, party power right now, using political purposes. The people Argentina getting tired ""show"" politicians distract Argentine population far important problems."""
0,20120527181201Z,"""We afford HAVE afford, Marco."""
0,20120618223658Z,"""Hey moron ""buttons1994"", Kerry able bully Obama like Romney bullied gay boy prep school physically assaulting him.\n\nBut clown Romney able bully Obama debate either, wash."""
0,20120610043304Z,"""and like matters, waiting next year...I still living playoffs...suck loser"""
0,,"""Should hung did, country monsters lurk among us!!!"""
0,20120618200244Z,"""@Childerz\xa0\xa0@koosh12684\xa0\xa0@jwoude23\xa0\xa0@welfarecheese\xa0\xa0@SDL\xa0\xa0@Nonstopdrivel\xa0\n\xa0\nRight on. As long open honest come conclusions, I give shit disagree."""
0,20120619001635Z,"""they pecking death gives ugly runs"""
0,,"""@Blaine Jungwirth definitely thought deserved 2, hey, I takes I gets!"""
0,20120620142254Z,"""I can't trend I'm iPod touch"""
0,20120612020610Z,"""This JOINT back day!\n\nAnd I one thought Gregory looked like could Philip Michael Thomas' brother? LOL"""
1,20120503001924Z,"""How old u 12? \n\nKnicks fan BEEYATCH!!!\n\nNot Melo ball licker!!!"""
0,20120529224055Z,"""Anything better Grover Norquist, Tea party, Wall Street, corporatist GOP."""
1,20120619195231Z,"""BITCH NIGGA YOU NEED AN EYE EXAM, AND EYE GLASSES! CASSIE ONE OF THE FINEST WOMEN ON EARTH!"""
0,20120609235433Z,"""Are attempting kinky here?\xa0 You kind fetish?"""
0,20120618204044Z,"""You get gold star!The best post I've seen months!!Hilarious...Great job,Canadian!PS I think need come here.I'll sponsor you!!"""
0,20120530024237Z,"""How old you?"""
1,20120612051753Z,"""Nothing worse idi0t smugs is, Gay"""
1,20120528043620Z,"""You're child rapist NY. You admitted MANY times sick fuck! You room talk."""
0,20120529130729Z,"""@J.O. \xa0 The man genius."""
1,20120611235146Z,"""Anti American piece of-shit are"""
1,20120502165117Z,"""Have sipping th e sacramental wine again?\n\nYou really dense little dude."""
0,20120529093527Z,"""Yes remember - government listening views owner Wonga.\n\nWonga loan business\xa0money (at astonomical rates)"""
0,20120530054153Z,"""The tirade people caused people dislike her. Read comments. Like one, ""I know story husband. We stories. I mean, I almost died, Venus struggling herself. So, know, life. "" \n\nShe comes across uncaring selfish. On top never gives opponent credit--it's always SHE did.\n\nI absolutely like Venus--consistently root years--but Serena absolutely awful person needs grow up"""
0,,"""Stacy C. right - Dumbama fat-ass wife cronies created atmosphere govt. interference feel govt entities doing.\\xc2\\xa0 Schools others take cues top down, see admin. forcing restaurants publish calories menus, feel ""their part"" messiah become food police.\\xc2\\xa0 I cannot believe school puts approved food list.\\xc2\\xa0\\xc2\\xa0I would suing.\\xc2\\xa0"""
0,20120529113543Z,"""GALLUP DAILY\nMay 24-26, 2012 \u2013 Updates daily 1 p.m. ET; reflects one-day change\nNo updates Monday, May 28; next update Tuesday, May 29.\nObama Approval48%-\nObama Disapproval45%-1\nPRESIDENTIAL ELECTION\nObama47%-\nRomney45%-\n7-day rolling average\n\n It seems bump Romney got president game."""
0,20120612120924Z,"""This someone whose self-importance got best him. If anyone fired would Tate. This kind behavior inexcusable unbecoming man holds futures many employees hand."""
0,20120530113019Z,"""Don't stand porch."""
0,20120528204226Z,"""camp got come get guy. earn money."""
0,,"""You could wrong. The American Tea Party stands limited government. Fiscal responsibility, return constitution. The Tea Party rallies protests legally brains. We pay permits, arrange events, say piece, clean go home. The occupukes hand. Are different, opposite. They trespass, steal, show without permission. They damage private property, collect urine feces throw people. They set fires, smash store windows. They rape young girls. I go on. Oh heat, AC warm beds paid people. kid committed cause stupid like OWS. There right way wrong way things. You occupunks choosen later."""
0,20120529084343Z,"""Because get rocks off. Our government run pedophiles sexually torture children."""
0,20120514051009Z,"""He actually said ""what spoiled bitch I am"".\xa0 I never hated Colton way posters did, I felt him.\xa0 Being gay republican family, mean villified.\xa0 He dismayed men vs women, took away comfort zone may had.\xa0 The men welcome him, got power, went ""spoiled bitch"" head."""
0,20120610074630Z,"""With inbreeds longest running malcontents."""
0,,"""Quote Teresa May ""That trying deport Jordan, home country."" TRYING - Since Sovereign problems TRYING deport diseased minded scum like him. Stuff EU laws UK \\'fined\\' EUSSR don\\'t pay ... stop financial payments corrupt experiment. It doesn\\'t work, broke listen PEOPLE Camoron referendum .. NOW!"""
0,,"""@nilbymouth \\n\\nYou right concerning Campbell. My bad. The QB carosel mixed up. Anyways, I still like Knapp think went road need revisit again. Cable obviously think high stripped playcalling duties decided call plays himself. If Knapp truely great does, would positive influence team quarterbacks, opinion, didn't....Carson Palmer needs guy like Saunders whose offensive connection undeniable..."""
0,20120529160040Z,"""I'll like comment makes feel better."""
0,20120610000015Z,"""Why Obama go Wisconsin urge Republicans abandon America form austerity?"""
0,20120528195900Z,"""If deleted post, I wold surely banned flaming Joe. :)"""
0,20120502062701Z,"""What hell talking about?"""
0,20120529035417Z,"""people dancing, drinking, fun clubs miami\n\n""Life good miami, Heat won!!!! lets get drunk""\n\n--Heat fans"""
0,20120515182944Z,"""This American. Load utter 'positive people makes positive lives' fake christian bullshit.\xa0\n\nPut way, take 2 example:Give complaining. This reads like 'become walk over'. If gave complaining, nothing great would get done crap would accepted. Go hairdressers, get shit haircut $100. Don't complain happy, pissed-off shit haircut, person who's taken ride.\xa0Give luxury criticism. For start luxury. You critical want. I believe trait I enjoy. Why? Many people idiots. It's truth. If job criticise people crap work office/workplace full people can't job.These basic personality traits intelligent people. But I guess retards happier us."""
0,20120609213514Z,"""You're one favorite commenters."""
0,20120611051049Z,"""dude, looks NOTHING like ""fag-box."" It looks towards PlayStation-meets-Alienware console. It already proven modern consoles continually progress towards PC. So please take your\xa0idiotically painful comments\xa0elsewhere."""
1,20120527231602Z,"""Howe feel Freedom Leech parasite?"""
0,,""".........And arseanal fans silently weep hankies!!\\n\\nThere's nothing see here, fellas- he's free man still Spurs manager!\\n\\n \\n\\nUNLUCKY!"""
0,20120529211852Z,"""Yes comedy life"""
1,20120619192139Z,"""Moron, Latinos becoming large voting block can't dismissed like blacks, gay, women minorities.\nYou need majority win whites buy crap"""
0,20120609171819Z,"""""When Is Bush going asked campaign Romney. When I'll buy dinner. I wonder Bush NOT wanted.""\n\nThe BETTER question SITTING PRESIDENT LIKE OBAMA IS NOT WANTED!\n\nNotice 7 fundraisers weekend vote around WIsc. NEVER stopped WISC.\n\nNotice NO ONE wants help campaigning?"""
0,,"""wait till raptor grabs mid air.bad days man."""
0,20120610002525Z,"""Have ever given props least dissed thread? I'm fan movies either mean I start talking shit every fucking post.."""
0,,"""@big_o_other That dynamic clear since teabaggers threw first tantrum January 2009 Rush declared wanted president fail.\\\\n\\\\n \\\\n\\\\nThey want economy suck. They NEED economy suck. This explains otherwise puzzling legislative choices past three years."""
1,20120609233435Z,"""You stuck stupid obviously...give break vote.\nmoron"""
0,20120619063951Z,"""This man's drunk fuck, he's drugs, he's male prostitute."""
1,20120619221729Z,"""who told that....stupid ask kick daughter house age 16.....when comes protecting weaman guys last ppl earth open mounths.."""
0,20120612004703Z,"""@Lets_Go_West\xa0try big 100\nthey dope"""
1,20120619103111Z,"""Ight ima get mr. Army man w.e. fuck are. I family fighting battle field right atleast 20 members juggalos. Just like little ick sucking divk whipped bitch. If time sit talk shit family obviously job fighting country busy trying start another world war juggalo family shut fuck grow pair pussy."""
0,20120529233441Z,"""You correct...the red sox worst team."""
0,,"""Headlines going months, Mark WRIGHT reject back home"""
0,,"""i watch game morning watched sky see fuss about, say times football fans put loyalty respective clubs aside, ballotelli disgrace won;t admit deliberate place football amazed banned"""
1,20120611091050Z,"""Are retarded? You think Iraq & Afghan avenging deaths? Lol.. get checked buddy.. even bush would laugh you...\n\nThere reason proud India.. cuz like US Israel go war drop hat.. long run even proving costly them..\xa0\n\nSo wake up.. We talking Music War.. dumb moron"""
0,20120612092607Z,"""No matter great body looks, there's\xa0something pathetic, desperate trashy\xa0about woman old acting like that!!"""
1,20120529090040Z,"""piiisii ... apparently knows nothing cold facts\n\nRepublican Trolls make us sick non factual crap\n\nYou cry 2016 ... lies mean nothing intelligent people"""
0,20120610200600Z,"""The bad part story dumb redneck Republicans, like yourself.\n\nNot sure folks sociopaths like you, though, probably downgrade them..."""
1,20120320200133Z,"""You stupid yesterday."""
0,,"""""I may never see light day again"".....He NEVER see light day again! Twisted beyond belief. You couldn\\'t dog, let alone another human being. """
1,20120619024452Z,"""There lot morons posting site class yourself."""
1,20120618204027Z,"""You Moron."""
0,20120611233921Z,"""How fuck Orange Beef Orange chicken?"""
1,20120612023153Z,"""suck dick yeaah babby pussy"""
